RabA,RabB,RabC,RabD,RabE,area,memERGIC,memGolgiMedial,memL,memLS,memS,memTGN,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
1969778.59,0.0,0.0,0.0,0.0,1969778.59,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,8033.0,1.0,1000.0,196257.0,196257.0,1.0,1.900663555E7,
1846628.16,0.0,0.0,0.0,0.0,1846628.16,7838.04,7838.04,8033.0,8033.0,7838.04,7838.04,1667.92,1.0,978.06,196257.0,191951.8,1.0,1.792906927E7,
1852125.95,46181.41,0.0,0.0,0.0,1898307.36,7967.33,7784.49,8033.0,8033.0,7784.49,7784.49,1102.86,1.0,971.78,196257.0,190719.31,1.0,1.828836742E7,
1897207.8,15393.8,0.0,0.0,0.0,1912601.61,7903.2,7661.17,8033.0,8033.0,7661.17,7661.17,400.16,1.0,957.83,196257.0,187981.18,1.0,1.84945587E7,
1835632.59,30787.61,0.0,0.0,0.0,1866420.2,7772.32,7536.85,8033.0,8033.0,7536.85,7536.85,140.55,1.0,943.78,196257.0,185222.96,1.0,1.809047135E7,
1853225.51,138544.24,0.0,0.0,0.0,1991769.74,7902.68,7604.4,8033.0,8033.0,7604.44,7604.44,1398.45,1.0,951.36,196257.0,186710.39,1.0,1.917315331E7,
1867519.75,61575.22,0.0,0.0,0.0,1929094.97,7838.6,7430.2,8033.0,8033.0,7430.23,7430.23,325.62,1.0,931.64,196257.0,182841.12,1.0,1.873916207E7,
1903805.15,92362.82,0.0,0.0,0.0,1996167.97,7902.68,7429.73,8033.0,8033.0,7429.76,7429.76,406.28,1.0,931.59,196257.0,182831.74,1.0,1.921634579E7,
1854325.06,138544.24,0.0,0.0,0.0,1992869.3,7774.66,7157.32,8033.0,8033.0,7157.35,7157.35,41.81,1.0,900.49,196257.0,176726.73,1.0,1.924994587E7,
1829035.24,138544.24,15393.8,0.0,0.0,1982973.28,7774.66,7101.94,8033.0,8033.0,7047.68,7047.68,15.84,1.0,887.96,196257.0,174268.92,1.0,1.913623018E7,
1747667.99,215513.26,15393.8,0.0,0.0,1978575.05,7512.23,7101.94,8033.0,8033.0,6788.98,6788.98,3.01,1.0,858.34,196257.0,168455.44,1.0,1.915911304E7,
1859822.85,230907.06,15393.8,15393.8,0.0,2121517.52,7774.66,7101.94,8033.0,8033.0,6997.89,6997.89,20.05,1.0,882.23,196257.0,173144.4,1.0,2.03980471E7,
1896108.25,153938.04,15393.8,15393.8,0.0,2080833.89,7774.66,7101.94,8033.0,8033.0,6848.12,6848.12,5.27,1.0,865.14,196257.0,169789.4,1.0,2.018058897E7,
1865320.64,107756.63,15393.8,15393.8,0.0,2003864.87,7711.02,7101.94,8033.0,8033.0,6695.37,6695.37,1.29,1.0,847.74,196257.0,166374.27,1.0,1.950711004E7,
1874117.1,123150.43,15393.8,15393.8,0.0,2028055.14,7711.02,7101.94,8033.0,8033.0,6695.37,6695.37,1.29,1.0,847.74,196257.0,166374.27,1.0,1.95790703E7,
1790550.73,92362.82,15393.8,15393.8,0.0,1913701.17,7521.33,7101.94,8033.0,8033.0,6491.75,6491.75,0.19,1.0,824.4,196257.0,161795.19,1.0,1.860446629E7,
1789451.18,46181.41,15393.8,15393.8,0.0,1866420.2,7330.13,7101.94,8033.0,8033.0,6184.18,6184.18,0.01,1.0,788.98,196257.0,154842.36,1.0,1.805752186E7,
1767460.03,15393.8,15393.8,15393.8,0.0,1813641.44,7143.48,7101.94,8033.0,8033.0,5981.2,5981.2,0.0,1.0,765.47,196257.0,150229.59,1.0,1.75393267E7,
1721278.62,15393.8,15393.8,15393.8,0.0,1767460.03,7018.5,7101.94,8033.0,8033.0,5879.23,5879.23,0.0,1.0,753.67,196257.0,147913.18,1.0,1.713523934E7,
1671798.53,15393.8,15393.8,15393.8,0.0,1717979.94,6891.58,7101.94,8033.0,8033.0,5775.72,5775.72,0.0,1.0,741.64,196257.0,145551.18,1.0,1.66004485E7,
1870818.43,384845.1,15393.8,15393.8,0.0,2286451.13,7525.17,7101.94,8033.0,8033.0,6174.9,6174.9,0.19,1.0,787.18,196257.0,154488.89,0.0,2.157340358E7,
15393.8,1323238.83,61575.22,0.0,0.0,1400207.85,257.97,67.52,0.0,0.0,661.2,661.2,123.25,0.0,76.57,0.0,15028.12,1.0,1.40228915E7,
1882913.56,446420.32,15393.8,15393.8,0.0,2360121.48,7525.07,7101.94,8033.0,8033.0,6136.15,6136.15,0.15,1.0,782.8,196257.0,153630.41,0.0,2.27766506E7,
15393.8,1369420.24,76969.02,0.0,0.0,1461783.06,257.97,50.64,0.0,0.0,747.99,747.99,101.4,0.0,86.8,0.0,17034.14,1.0,1.456167464E7,
1867519.75,461814.12,46181.41,15393.8,0.0,2390909.09,7524.57,5335.37,8033.0,8033.0,5911.24,5911.24,72.49,1.0,756.61,196257.0,148490.77,0.0,2.304604217E7,
15393.8,1307845.02,61575.22,0.0,0.0,1384814.04,257.97,40.51,0.0,0.0,739.77,739.77,45.66,0.0,85.96,0.0,16870.52,1.0,1.388819572E7,
1833433.47,431026.51,15393.8,15393.8,0.0,2295247.59,7339.3,3556.91,8033.0,8033.0,5758.08,5758.08,14.86,1.0,738.88,196257.0,145011.3,0.0,2.23057508E7,
15393.8,1246269.81,15393.8,0.0,0.0,1277057.41,257.97,20.26,0.0,0.0,706.49,706.49,1.53,0.0,82.59,0.0,16209.37,1.0,1.294532522E7,
1787252.06,354057.49,15393.8,15393.8,0.0,2172097.16,7276.62,3556.91,8033.0,8033.0,5601.49,5601.49,2.76,1.0,720.82,196257.0,141465.41,0.0,2.122818452E7,
61575.22,1354026.43,30787.61,0.0,0.0,1446389.26,443.64,20.26,0.0,0.0,834.78,834.78,70.02,0.0,97.84,0.0,19201.45,1.0,1.442697886E7,
1761962.24,369451.3,15393.8,15393.8,0.0,2162201.14,7277.86,3556.91,8033.0,8033.0,5563.61,5563.61,2.16,1.0,716.34,196257.0,140587.7,0.0,2.093055569E7,
30787.61,1323238.83,30787.61,0.0,0.0,1384814.04,295.76,20.26,0.0,0.0,816.63,816.63,14.39,0.0,95.98,0.0,18836.09,1.0,1.388819572E7,
1827935.69,307876.08,15393.8,15393.8,0.0,2166599.37,7425.17,3556.91,8033.0,8033.0,5535.35,5535.35,9.36,1.0,712.94,196257.0,139919.78,0.0,2.10404242E7,
15393.8,1292451.22,15393.8,0.0,0.0,1323238.83,295.76,20.26,0.0,0.0,807.24,807.24,6.11,0.0,95.02,0.0,18647.93,1.0,1.334941258E7,
1842229.93,277088.47,15393.8,15393.8,0.0,2150106.01,7363.34,3556.91,8033.0,8033.0,5457.87,5457.87,3.94,1.0,703.91,196257.0,138146.53,0.0,2.082828856E7,
15393.8,1523358.28,138544.24,0.0,0.0,1677296.32,419.59,18.23,0.0,0.0,1036.11,1036.11,121.76,0.0,121.21,0.0,23787.63,1.0,1.644741563E7,
15393.8,169331.84,1738871.53,30787.61,15393.8,1969778.59,250.07,4183.94,0.0,0.0,1129.3,1129.3,63.84,0.0,130.05,0.0,25522.6,1.0,1.900663555E7,
1810342.77,230907.06,15393.8,15393.8,0.0,2072037.43,7182.4,3556.91,8033.0,8033.0,5341.54,5341.54,1.04,1.0,690.33,196257.0,135482.11,0.0,2.012736634E7,
15393.8,123150.43,1692690.12,30787.61,15393.8,1877415.77,250.07,4109.86,0.0,0.0,1102.82,1102.82,14.22,0.0,127.28,0.0,24979.98,1.0,1.819846084E7,
1781754.27,184725.65,15393.8,15393.8,0.0,1997267.53,7003.95,3556.91,8033.0,8033.0,5145.93,5145.93,0.1,1.0,667.44,196257.0,130988.98,0.0,1.939247049E7,
15393.8,61575.22,1769659.14,92362.82,15393.8,1954384.79,250.07,4389.38,0.0,0.0,1162.6,1162.6,150.32,0.0,134.0,0.0,26298.5,1.0,1.887193976E7,
1682794.11,169331.84,15393.8,15393.8,0.0,1882913.56,6819.55,3556.91,8033.0,8033.0,4984.85,4984.85,0.01,1.0,648.55,196257.0,127282.17,0.0,1.830199678E7,
15393.8,46181.41,1723477.73,61575.22,15393.8,1862021.97,250.07,4312.35,0.0,0.0,1134.69,1134.69,31.92,0.0,131.09,0.0,25727.24,1.0,1.806376505E7,
1764161.35,107756.63,15393.8,15393.8,0.0,1902705.59,6819.55,3556.91,8033.0,8033.0,4907.33,4907.33,0.01,1.0,639.4,196257.0,125487.31,0.0,1.843035187E7,
15393.8,61575.22,1754265.34,153938.04,61575.22,2046747.61,250.07,4352.84,0.0,0.0,1251.04,1251.04,56.87,0.0,144.29,0.0,28317.62,1.0,1.968011448E7,
1843329.49,261694.67,15393.8,15393.8,0.0,2135811.77,7115.23,3556.91,8033.0,8033.0,5038.6,5038.6,28.84,1.0,654.68,196257.0,128485.02,0.0,2.070440242E7,
15393.8,46181.41,1677296.32,123150.43,46181.41,1908203.38,250.07,4236.89,0.0,0.0,1203.34,1203.34,4.91,0.0,139.29,0.0,27336.31,1.0,1.846785241E7,
1821338.34,200119.45,15393.8,15393.8,0.0,2052245.4,7056.09,3556.91,8033.0,8033.0,4964.94,4964.94,11.56,1.0,646.03,196257.0,126787.23,0.0,1.991620097E7,
15393.8,15393.8,1661902.51,153938.04,30787.61,1877415.77,250.07,4236.89,0.0,0.0,1193.63,1193.63,2.93,0.0,138.27,0.0,27136.93,1.0,1.819846084E7,
1838931.26,307876.08,30787.61,15393.8,0.0,2192988.75,7326.92,3556.91,8033.0,8033.0,4908.0,4908.0,7.93,1.0,639.12,196257.0,125431.2,0.0,2.110029355E7,
15393.8,15393.8,1631114.91,138544.24,15393.8,1815840.55,250.07,4158.4,0.0,0.0,1154.48,1154.48,0.34,0.0,134.18,0.0,26333.52,1.0,1.76596777E7,
1859822.85,292482.28,15393.8,15393.8,0.0,2183092.74,7266.77,1778.46,8033.0,8033.0,4806.09,4806.09,2.19,1.0,627.11,196257.0,123074.96,0.0,2.115259801E7,
15393.8,15393.8,1600327.3,92362.82,15393.8,1738871.53,250.07,4079.9,0.0,0.0,1115.33,1115.33,0.04,0.0,130.09,0.0,25530.1,1.0,1.698619877E7,
1798247.64,246300.86,15393.8,15393.8,0.0,2075336.11,7026.18,1778.46,8033.0,8033.0,4635.44,4635.44,0.23,1.0,607.02,196257.0,119131.26,0.0,2.020972751E7,
15393.8,30787.61,1646508.71,76969.02,15393.8,1785052.95,250.07,4247.6,0.0,0.0,1155.36,1155.36,60.62,0.0,134.73,0.0,26441.33,1.0,1.739028613E7,
1844429.05,246300.86,15393.8,15393.8,0.0,2121517.52,7592.69,1778.46,8033.0,8033.0,4703.44,4703.44,5.9,1.0,614.65,196257.0,120628.51,0.0,2.061381487E7,
46181.41,61575.22,1677296.32,30787.61,15393.8,1831234.36,373.42,4207.89,0.0,0.0,1274.52,1274.52,15.13,0.0,149.01,0.0,29244.12,1.0,1.779437348E7,
1834533.03,230907.06,15393.8,15393.8,0.0,2096227.7,7530.54,1778.46,8033.0,8033.0,4602.78,4602.78,1.55,1.0,602.74,196257.0,118291.1,0.0,2.031528475E7,
30787.61,230907.06,1754265.34,46181.41,15393.8,2077535.22,248.95,4364.63,0.0,0.0,1430.39,1430.39,28.84,0.0,166.75,0.0,32726.44,1.0,1.994950605E7,
1855424.62,184725.65,15393.8,15393.8,0.0,2070937.88,7530.54,1778.46,8033.0,8033.0,4569.06,4569.06,0.98,1.0,598.74,196257.0,117506.32,0.0,2.003353273E7,
30787.61,184725.65,1738871.53,15393.8,15393.8,1985172.4,248.95,4364.63,0.0,0.0,1419.8,1419.8,18.15,0.0,165.63,0.0,32505.47,1.0,1.914133134E7,
1821338.34,153938.04,15393.8,15393.8,0.0,2006063.99,7467.42,1778.46,8033.0,8033.0,4534.27,4534.27,0.61,1.0,594.62,196257.0,116697.98,0.0,1.944575932E7,
15393.8,246300.86,1846628.16,61575.22,15393.8,2185291.85,124.47,5069.99,0.0,0.0,1439.69,1439.69,12.98,0.0,167.62,0.0,32896.26,1.0,2.089237654E7,
1826836.13,138544.24,15393.8,15393.8,0.0,1996167.97,7467.42,1778.46,8033.0,8033.0,4500.09,4500.09,0.38,1.0,590.56,196257.0,115900.87,0.0,1.931541421E7,
15393.8,261694.67,1846628.16,46181.41,15393.8,2185291.85,124.47,5569.1,0.0,0.0,1425.05,1425.05,5.8,0.0,166.41,0.0,32659.31,1.0,2.089237654E7,
1804844.98,92362.82,15393.8,15393.8,0.0,1927995.41,7342.7,1778.46,8033.0,8033.0,4396.16,4396.16,0.09,1.0,578.21,196257.0,113476.97,0.0,1.869528241E7,
30787.61,323269.88,1877415.77,61575.22,15393.8,2308442.28,271.51,5738.97,0.0,0.0,1487.68,1487.68,40.45,0.0,173.51,0.0,34051.63,1.0,2.196994282E7,
1825736.57,15393.8,15393.8,15393.8,0.0,1871917.98,7280.07,1778.46,8033.0,8033.0,4325.49,4325.49,0.03,1.0,569.8,196257.0,111827.72,0.0,1.811150811E7,
30787.61,338663.69,1831234.36,30787.61,15393.8,2246867.07,271.51,5553.02,0.0,0.0,1464.58,1464.58,5.77,0.0,171.0,0.0,33559.04,1.0,2.143115968E7,
1764161.35,15393.8,15393.8,15393.8,0.0,1810342.77,7094.87,1778.46,8033.0,8033.0,4218.18,4218.18,0.01,1.0,557.03,196257.0,109320.17,0.0,1.757272497E7,
30787.61,338663.69,1908203.38,107756.63,15393.8,2400805.11,271.51,5740.96,0.0,0.0,1530.0,1530.0,37.25,0.0,178.03,0.0,34939.28,1.0,2.277811753E7,
1653106.05,15393.8,15393.8,15393.8,0.0,1699287.47,6845.7,1778.46,8033.0,8033.0,4073.84,4073.84,0.0,1.0,539.75,196257.0,105930.41,0.0,1.646610594E7,
15393.8,292482.28,1923597.18,107756.63,15393.8,2354623.69,167.06,5696.64,0.0,0.0,1559.33,1559.33,17.13,0.0,181.65,0.0,35651.05,1.0,2.237403018E7,
1559643.67,15393.8,15393.8,15393.8,0.0,1605825.09,6407.26,1778.46,8033.0,8033.0,3819.9,3819.9,0.0,1.0,509.19,196257.0,99932.35,0.0,1.558175455E7,
30787.61,292482.28,1923597.18,153938.04,30787.61,2431592.71,269.15,5696.64,0.0,0.0,1572.72,1572.72,19.87,0.0,183.1,0.0,35934.34,1.0,2.30475091E7,
1789451.18,15393.8,15393.8,15393.8,0.0,1835632.59,7498.2,1778.46,8033.0,8033.0,4131.61,4131.61,5.17,1.0,545.46,196257.0,107051.14,0.0,1.74937212E7,
15393.8,246300.86,1877415.77,123150.43,15393.8,2277654.67,134.58,5651.05,0.0,0.0,1532.18,1532.18,4.12,0.0,178.75,0.0,35080.41,1.0,2.170055125E7,
1797148.08,15393.8,15393.8,15393.8,0.0,1843329.49,7372.04,1778.46,8033.0,8033.0,4063.81,4063.81,1.79,1.0,537.34,196257.0,105456.66,0.0,1.783079511E7,
15393.8,200119.45,1831234.36,107756.63,15393.8,2169898.05,134.58,5557.99,0.0,0.0,1480.11,1480.11,0.5,0.0,173.17,0.0,33986.14,1.0,2.075768076E7,
1741070.65,15393.8,15393.8,15393.8,0.0,1787252.06,7184.87,1778.46,8033.0,8033.0,3963.19,3963.19,0.36,1.0,525.26,196257.0,103086.52,0.0,1.72966905E7,
15393.8,169331.84,1769659.14,30787.61,15393.8,2000566.2,134.58,5463.35,0.0,0.0,1426.84,1426.84,0.05,0.0,167.48,0.0,32868.73,1.0,1.927602712E7,
1727875.96,30787.61,30787.61,15393.8,0.0,1804844.98,7278.02,1778.46,8033.0,8033.0,3976.76,3976.76,6.8,1.0,526.74,196257.0,103376.97,0.0,1.742016078E7,
15393.8,153938.04,1723477.73,15393.8,15393.8,1923597.18,134.58,5463.35,0.0,0.0,1415.69,1415.69,0.03,0.0,166.29,0.0,32635.79,1.0,1.860254819E7,
1763061.8,15393.8,15393.8,15393.8,15393.8,1824637.01,7122.43,889.23,8033.0,8033.0,3829.29,3829.29,0.65,1.0,508.91,196257.0,99876.33,0.0,1.769662339E7,
15393.8,107756.63,1677296.32,15393.8,15393.8,1831234.36,134.58,5414.55,0.0,0.0,1381.23,1381.23,0.01,0.0,162.63,0.0,31918.08,1.0,1.779437348E7,
1698187.91,15393.8,15393.8,15393.8,15393.8,1759763.13,7059.57,889.23,8033.0,8033.0,3796.65,3796.65,0.37,1.0,504.97,196257.0,99103.82,0.0,1.701047604E7,
15393.8,92362.82,1785052.95,61575.22,30787.61,1985172.4,134.58,5551.19,0.0,0.0,1424.91,1424.91,2.82,0.0,167.39,0.0,32851.01,1.0,1.914133134E7,
1656404.73,15393.8,15393.8,15393.8,15393.8,1717979.94,6749.48,889.23,8033.0,8033.0,3635.55,3635.55,0.02,1.0,485.54,196257.0,95290.78,0.0,1.666594772E7,
15393.8,76969.02,1738871.53,30787.61,15393.8,1877415.77,134.58,5551.19,0.0,0.0,1413.51,1413.51,1.69,0.0,166.18,0.0,32613.14,1.0,1.819846084E7,
1780654.72,15393.8,15393.8,15393.8,15393.8,1842229.93,6999.71,889.23,8033.0,8033.0,3705.59,3705.59,0.13,1.0,494.0,196257.0,96951.41,0.0,1.786938794E7,
15393.8,169331.84,1754265.34,15393.8,15393.8,1969778.59,134.58,5455.86,0.0,0.0,1535.25,1535.25,3.54,0.0,180.16,0.0,35357.68,1.0,1.900663555E7,
1776256.49,15393.8,15393.8,15393.8,15393.8,1837831.7,6881.44,889.23,8033.0,8033.0,3645.02,3645.02,0.04,1.0,486.69,196257.0,95516.0,0.0,1.779326485E7,
46181.41,138544.24,1846628.16,46181.41,15393.8,2092929.03,473.29,5503.73,0.0,0.0,1595.58,1595.58,5.39,0.0,187.09,0.0,36717.87,1.0,2.008420183E7,
1670698.97,15393.8,15393.8,15393.8,15393.8,1732274.19,6584.06,889.23,8033.0,8033.0,3492.77,3492.77,0.0,1.0,468.26,196257.0,91899.82,0.0,1.68226709E7,
46181.41,107756.63,1815840.55,30787.61,15393.8,2015960.01,473.29,5457.85,0.0,0.0,1572.11,1572.11,2.14,0.0,184.58,0.0,36225.37,1.0,1.941072291E7,
1804844.98,200119.45,15393.8,15393.8,15393.8,2051145.84,7219.15,889.23,8033.0,8033.0,3689.93,3689.93,1.27,1.0,491.94,196257.0,96546.91,0.0,1.950981157E7,
